idea,trace_id,raw_id,candidate_id,source,raw_saved,json_parse_success,pydantic_valid,validator_valid,repair_used,fallback_used,action_template_count,tension_count,quest_count,main_error
青溪镇修仙药铺小世界,trace_worldspec_44149e04ae9e8ade,raw_0dd3622d05ba49f999e95edb2fe17a19,cand_92edfaface4e4099ada54846dba1bb28,sample_fallback,True,False,True,True,False,True,10,3,2,
海上漂流木筏小世界,trace_worldspec_2534ad8aa7592636,raw_b9d48179205346fb9277f5466ad3bb26,cand_d76228081892433898dadf78e7ad59a9,sample_fallback,True,False,True,True,False,True,10,3,2,
地铁末班车求生小世界,trace_worldspec_93f068818e48dd17,raw_59bffe5e087a4770bb98bd191ffae65d,cand_a49a0982e7f94bfaba76998f31ad08ab,repaired_llm_candidate,True,True,True,True,False,False,9,3,3,
边境驿站谍影小世界,trace_worldspec_17a7a0197928f4df,raw_51f051c95a744fc695db4c1f3f68e8b2,cand_f8cae14af5414f74ac8b247d1ffc3edd,sample_fallback,True,False,True,True,False,True,10,3,2,
雪山温泉旅馆小世界,trace_worldspec_770a410813a059b0,raw_52238452ebfc4ebf9049b2e105405d0e,cand_9880ac7965c842228f6b231c36647bc7,sample_fallback,True,False,True,True,False,True,10,3,2,
废土水塔社区小世界,trace_worldspec_9a05d8d2b8226b4e,raw_3df55426ad434577885c79a971c5e999,cand_087293b646ec454da95b76d5800c30f5,repaired_llm_candidate,True,True,True,True,False,False,8,3,2,
魔法学院禁书室小世界,trace_worldspec_e0bd01d170d9af1d,raw_1ba1a8d1808b45e7b92d28bb718afb02,cand_bfaa01d3cf124c21bd0e33dc42fbcea4,repaired_llm_candidate,True,True,True,True,False,False,8,3,3,
山村祭典前夜小世界,trace_worldspec_9c282fa1d43db808,raw_034a0ce0ad73450b8023e1826aab42c3,cand_bbb0c50c04ef44708a678962a384ec6e,repaired_llm_candidate,True,True,True,True,False,False,10,3,2,
太空货舱事故小世界,trace_worldspec_d45fb806131a926b,raw_8e33d6e914f0462ba8fc3571043a0231,cand_e2e2899a64cb451e81de5c45ff7fcffe,repaired_llm_candidate,True,True,True,True,False,False,10,3,2,
江湖客栈门派纷争小世界,trace_worldspec_6ce1b11a5f10cf8c,raw_83b07cfdb27a4f578d6ef7dd9caf2c23,cand_ddb5123d40a04dd4afb30827fbeb7d29,sample_fallback,True,False,True,True,False,True,10,3,2,
